fasta,name,organism,source,genome_assembly,accession,group,pep_sample_name
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/jungle/mus_musculus/ncbi/mm39/fasta/GCF_000001635.27_GRCm39_genomic.fna.gz,GRCm39-fasta-genomic,Mus musculus,ncbi,mm39,GCF_000001635.27,mus_musculus,GRCm39-fasta-genomic
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/jungle/mus_musculus/refgenie/mm10/fasta/0f10d83b1050c08dd53189986f60970b92a315aa7a16a6f1.fa.gz,mm10-refgenie-ncbi,Mus musculus,refgenie,mm10,,mus_musculus,mm10-refgenie-ncbi
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/jungle/mus_musculus/refgenie/mm10/fasta/bfdbdd006617e34e64b298f48785022d9376acad57260aaf.fa.gz,mm10-refgenie-ucsc,Mus musculus,refgenie,mm10,,mus_musculus,mm10-refgenie-ucsc
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/jungle/mus_musculus/ucsc/mm10/fasta/mm10.fa.gz,mm10-ucsc-initial-soft-masked,Mus musculus,ucsc,mm10,,mus_musculus,mm10-ucsc-initial-soft-masked
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/jungle/mus_musculus/ucsc/mm10/fasta/mm10.fa.masked.gz,mm10-ucsc-initial-hard-masked,Mus musculus,ucsc,mm10,,mus_musculus,mm10-ucsc-initial-hard-masked
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/jungle/mus_musculus/ucsc/mm10/fasta/mm10.p6.fa.gz,mm10-ucsc-p6-soft-masked,Mus musculus,ucsc,mm10,,mus_musculus,mm10-ucsc-p6-soft-masked
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/jungle/mus_musculus/ucsc/mm10/fasta/mm10.p6.fa.masked.gz,mm10-ucsc-p6-hard-masked,Mus musculus,ucsc,mm10,,mus_musculus,mm10-ucsc-p6-hard-masked
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/jungle/mus_musculus/ucsc/mm39/fasta/mm39.fa.gz,mm39-ucsc-initial-soft-masked,Mus musculus,ucsc,mm39,,mus_musculus,mm39-ucsc-initial-soft-masked
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/jungle/mus_musculus/ucsc/mm39/fasta/mm39.fa.masked.gz,mm39-ucsc-initial-hard-masked,Mus musculus,ucsc,mm39,,mus_musculus,mm39-ucsc-initial-hard-masked
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/jungle/mus_musculus/ucsc/mm9/fasta/mm9.fa.gz,mm9-ucsc-initial,Mus musculus,ucsc,mm9,,mus_musculus,mm9-ucsc-initial
